Name,Scientific Name,Class,Order,Maximum Temperature,Minimum Temperature,Maximum Humidity,Minimum Humidity,Maximum Wind Speed,Minimum Wind Speed
Lowland Copperhead,Austrelaps superbus,Reptilia,Squamata,27,26,80,75,0.638,0.583
Latitude,Longitude,,,,,,,,
-38.2565,142.1232,,,,,,,,
-37.6327781,145.0608863,,,,,,,,
-37.9817,147.4106,,,,,,,,
-38.4954,143.5934,,,,,,,,
-37.581,145.363,,,,,,,,
-38.0529,143.7555,,,,,,,,
-38.25,145.93,,,,,,,,
-37.9746,142.5777,,,,,,,,
-37.5643,145.0798,,,,,,,,
-38.3126,142.2739,,,,,,,,
-38.2583,142.1221,,,,,,,,
-38.3355,142.2468,,,,,,,,
-38.25,145.93,,,,,,,,
-38.4717,143.7645,,,,,,,,
-37.6215,145.0777,,,,,,,,
-38.28,146.38,,,,,,,,
-38.4653,145.2722,,,,,,,,
-38.25,145.93,,,,,,,,
-37.6022,142.2118,,,,,,,,
-37.97,146.98,,,,,,,,
-37.9746,142.5788,,,,,,,,
-37.83498,145.54722,,,,,,,,
-37.7066,141.9345,,,,,,,,
-38.0538,143.7555,,,,,,,,
-37.782,142.552,,,,,,,,
-37.4,143.911,,,,,,,,
-38.27,145.22,,,,,,,,
-38.3823,144.9284,,,,,,,,
-37.75,146,,,,,,,,
-37.8244,147.6892,,,,,,,,
-37.6256,141.4507,,,,,,,,
-37.75635147,143.9653473,,,,,,,,
-38.0826,145.4876,,,,,,,,
-37.7917,142.2894,,,,,,,,
-38.1739,145.1295,,,,,,,,
-38.62,145.65,,,,,,,,
-38.0863,145.4932,,,,,,,,
-37.9256,144.7911,,,,,,,,
-37.7367,142.3043,,,,,,,,
-38.0342,145.1274,,,,,,,,
-37.814,143.654,,,,,,,,
-37.814,143.654,,,,,,,,
-38.8901,145.9763,,,,,,,,
-38.052,143.754,,,,,,,,
-38.0863,145.4932,,,,,,,,
-38.3,145.8,,,,,,,,
-38.0848,143.8524,,,,,,,,
-37.6614,142.4341,,,,,,,,
-37.4462,144.9952,,,,,,,,
-38.0848,143.8524,,,,,,,,
-37.31072,144.14969,,,,,,,,
-38.2139,145.0942,,,,,,,,
-37.8313,145.2823,,,,,,,,
-37.697,145.542,,,,,,,,
-38.72,145.85,,,,,,,,
-38.88,145.98,,,,,,,,
-37.42934,144.71689,,,,,,,,
-37.97,145.18,,,,,,,,
-38.0278,143.6917,,,,,,,,
-37.42,143.85,,,,,,,,
-37.7815,142.5519,,,,,,,,
-38.37,145.72,,,,,,,,
-38.43,146.33,,,,,,,,
-37.7097,143.5907,,,,,,,,
-37.95,145.55,,,,,,,,
-37.7367,143.8963,,,,,,,,
-37.3107,144.1497,,,,,,,,
-38.1816,143.5651,,,,,,,,
-37.7468,143.8475,,,,,,,,
-38.0529,145.1725,,,,,,,,
-37.9432,142.7622,,,,,,,,
-37.5658,145.0882,,,,,,,,
-38.3734,146.2929,,,,,,,,
-38.3858,145.1412,,,,,,,,
-38.1188,145.1811,,,,,,,,
-37.95095742,145.2499867,,,,,,,,
-38.027,143.725,,,,,,,,
-39,146.37,,,,,,,,
-38.0863,145.4932,,,,,,,,
-38.0863,145.4932,,,,,,,,
-37.6258,144.9564,,,,,,,,
-38.0826,145.4876,,,,,,,,
-38.0863,145.4932,,,,,,,,
-37.6,144.9,,,,,,,,
-37.6184,142.4617,,,,,,,,
-38.1267,145.1672,,,,,,,,
-37.7177,143.5908,,,,,,,,
-37.6631,144.0914,,,,,,,,
-38.0863,145.4932,,,,,,,,
-37.57,145.1,,,,,,,,
-37.7097,143.5907,,,,,,,,
-38.2022,144.3923,,,,,,,,
-37.93,145.03,,,,,,,,
-38.37,145.72,,,,,,,,
-38.72,145.85,,,,,,,,
